CHILDID,X4PRNCON,X4PRNSOC,X4PRNSAD,X4PRNIMP,X4TCHCON,X4TCHPER,X4TCHEXT,X4TCHINT
10000195,3,3.67,2,2, , , , 
10000196, , , , ,1.5,2,3,2
10000197,3.6,3.67,1.5,1.5,4,3.2,1,2
10000198,3,4,1.5,2, , , , 
10000199, , , , , , , , 
10000200, , , , , , , , 
10000201,3.6,4,1.5,2,4,3.8,1.67,1.25
10000202,2.8,3,1.25,2, , , , 
10000203, , , , , , , , 
10000204,2.2,3,2,2, , , , 
10000205,3.4,3.33,1.5,1.5,3,3,1.83,1.25
10000206, , , , , , , , 
10000207, , , , ,3,3.2,2.33,1
10000208,3.4,4,1.25,1.5, , , , 
10000209, , , , ,4,4,1,1
10000210,3.2,3.67,1.25,1.5,2.67,2, ,2
10000211, , , , ,2.75,2.8,1.67,1.75
10000212,3.2,3,2,2,3.5,3.4,1.17,1.75
10000213,3.2,4,1.75,1,2.75,2.5,1.67,2
10000214,2.8,3,1.75,2,3.5,3.4,2.17,1.25
10000215,3,4,1.75,2,4,3.2,1.6,2
10000216,3.2,3.33,1.5,2,3.75,4,1.33,1.25
10000217, , , , , , , , 
10000218,3.4,4,2,1.5,4,4,1.67,2
10000219, , , , , , , , 
10000220, , , , ,4,3.4,1.33,1.25
10000221,3.6,4,1,1,2.75,3.2,1.33,1.25
10000222, , , , ,3,2.6,2,1.5
10000223,3,4,1.25,2,3.25,3,2,2.25
10000224, , , , , , , , 
10000225,3.2,4,1.25,1.5, , , , 
10000226,2.8,3.33,2,2,3.75,3.6,1.17,2
10000227,2.6,2,1.75, ,3.5,3.2,2,1
10000228,1.8,3,3,2,2.5,2.4,2.83,2.33
10000229,1.8,2,3,1.5, , , , 
10000230,3.8,3.33,1.5,1.5,4,4,1.17,1.25
10000231,4,4,1.25,1.5,4,4,1.33,1.75
10000232,2.8,3,1.5,1.5,3.75,3.2,1.33,1.75
10000233,2.6,3.33,1.25,1.5,3,3,1.17,1.25
10000234,3.4,4,1,1,3.5,3.8,1.33,1.25
10000235,3.2,3.33,1.75,2, , , , 
10000236,3.8,4,1,1,4,4,1.67,1.25
10000237,2.6,4,1.5,2,2.75,2.4,2,1.25
10000238,3,3.33,1,1,3.25,3,1.5,1.25
10000239,2.4,4,1,2, ,3,1.33,1.25
10000240, , , , , ,4,1.17,1
10000241,3.6,2.67,2,1.5,2.5,2.6,2.17,1
10000242, , , , , , , , 
10000243,2.8,3,1,1.5,4,3.6,1.5,1
10000244, , , , , , , , 
10000245,3.4,4,1,3,2,3,2.5,1.5
10000246,1.8,2.33,2.75,3, , , , 
10000247,2.8,4,1.25,2, , , , 
10000248,2.4,4,1.5,2.5,3.5,3.2,1.83,1.5
10000249,3,3.67,1.25,2,3.75,4,1.5,3
10000250, , , , , , , , 
10000251,3,3,1.5,2,3.25,3,1.5,2.25
10000252,3.2,3,1.5,2,3.25,3,1.5,1
10000253,3.4,4,1.25,1.5,2.5,2.6,2,2
10000254,3.2,3.33,1.25,1,4,4,1,1.25
10000255, , , , ,2.25,2,2.67,2
10000256, , , , , , , , 
10000257,2.8,3.33,1,3,3,2.8,2.17,1
10000258, , , , , , , , 
10000259, , , , , , , , 
10000260,3.2,3.33,1,3,3.25,3,2.17,1
10000261,3.6,4,1.5,1.5,3.75,4,1.17,1.25
10000262,2.6,2.67,1.75,1.5, ,3,1,2
10000263,3,4,1.5,1.5,3.25,3.2,1.67,1.5
10000264, , , , ,3.75,2.8,1.17,1.75
10000265,2.8,3.67,1.75,3,4,3.6,1.17,1
10000266,3.4,4,1.25,1,3.5,3.4,1.17,1
10000267, , , , ,2.75,2.8,2.33,2
10000268,3.2,3.67,1.75,1,3,3.2,1.33,2
10000269,3.2,3,1.75,3,1.75,2.4,3.17,3
10000270, , , , , , , , 
10000271,2.6,3.33,1.75,2,3.75,3.8,1.33,1.5
10000272,2.4,3,2.25,2.5,3.25,3,1.83,1.5
10000273,3.6,4,1,2,2.5,3,1.67,2.5
10000274,2.8,3.33,1.25,2.5,4,3.6,2,1
10000275, , , , , , , , 
10000276,3,3.67,1.5,2,4,3.5,1.5,1.25
10000277,3.4,4,1.25,4,2.5,2.6,3.17,1.75
10000278, , , , , , , , 
10000279,3.4,2,1.5,2,3.5,3.2,2,1.75
10000280,3,3.33,1.5,1.5,4,3.8,1.17,1.25
10000281,2,4,1.75,2,1.75,2.6,1.6,1.25
10000282,2.6,2.33,1.25,2.5,2,2,2.33,1.25
10000283, , , , ,3.75,3,1.5,1.25
10000284,2.6,4,2.25,3, , , , 
10000285,2.8,2,2,2, ,2.6,1.6, 
10000286,4,4,1,1,4,4,1.67,1.5
10000287,4,3.67,1.5,2,2.75,2.6,2.33,2
10000288,2.6,3,1.25,2,4,3,1.17,1
10000289,3.2,2.67,2,2,3.25,2.6,1.5,2
10000290, , , , , , , , 
10000291,3.4,3.67,1.5,1.5,4,3.2,1.17,1.75
10000292, , , , ,3,3.6,2.5,1
10000293,3.4,4,1,2.5, , , , 
10000294, , , , , , , , 
10000295,3,3.33,1.25,1,4,3,1,2
10000296,3,3,2,1, , , , 
10000297,3,3.33,1,2,3.5,4,1.33,1
10000298, , , , , , , , 
10000299,3.4,3.67,1.25,1.5,3.75,3.8,1.5,1.75
10000300,3.4,3.67,1.75,1, , , , 
10000301,2.4,3.33,1.25,1.5,3,3.2,2,1.25
10000302,2.4,4,1.75,2,2.75,2.8,1.5,1.25
10000303, , , , ,4,4,1.67,1.5
10000304, , , , ,4,4,1.33,1
10000305,3.2,4,1.75,2, , , , 
10000306,3,3.33,1.5,1.5, , , , 
10000307,1.6,3,2.5,3.5,2.5,3,2,1.5
10000308, , , , , , , , 
10000309,3,3,1.75,1.5,3.25,3.4,1.83,1.75
10000310,3.2,3.67,1,1.5, , , , 
